,valor
2012-06-30,0.0008
2012-07-31,0.0043
2012-08-31,0.0040999999999999995
2012-09-30,0.005699999999999999
2012-10-31,0.0059
2012-11-30,0.006
2012-12-31,0.0079
2013-01-31,0.0086
2013-02-28,0.006
2013-03-31,0.004699999999999999
2013-04-30,0.0055000000000000005
2013-05-31,0.0037
2013-06-30,0.0026
2013-07-31,0.0003
2013-08-31,0.0024
2013-09-30,0.0034999999999999996
2013-10-31,0.005699999999999999
2013-11-30,0.0054
2013-12-31,0.0092
2014-01-31,0.0055000000000000005
2014-02-28,0.0069
2014-03-31,0.0092
2014-04-30,0.0067
2014-05-31,0.0046
2014-06-30,0.004
2014-07-31,0.0001
2014-08-31,0.0025
2014-09-30,0.005699999999999999
2014-10-31,0.0042
2014-11-30,0.0051
2014-12-31,0.0078000000000000005
2015-01-31,0.0124
2015-02-28,0.012199999999999999
2015-03-31,0.0132
2015-04-30,0.0070999999999999995
2015-05-31,0.0074
2015-06-30,0.0079
2015-07-31,0.0062
2015-08-31,0.0022
2015-09-30,0.0054
2015-10-31,0.008199999999999999
2015-11-30,0.0101
2015-12-31,0.0096
2016-01-31,0.0127
2016-02-29,0.009000000000000001
2016-03-31,0.0043
2016-04-30,0.0060999999999999995
2016-05-31,0.0078000000000000005
2016-06-30,0.0034999999999999996
2016-07-31,0.0052
2016-08-31,0.0044
2016-09-30,0.0008
2016-10-31,0.0026
2016-11-30,0.0018
2016-12-31,0.003
2017-01-31,0.0038
2017-02-28,0.0033
2017-03-31,0.0025
2017-04-30,0.0014000000000000002
2017-05-31,0.0031
2017-06-30,-0.0023
2017-07-31,0.0024
2017-08-31,0.0019
2017-09-30,0.0016
2017-10-31,0.0042
2017-11-30,0.0028000000000000004
2017-12-31,0.0044
2018-01-31,0.0029
2018-02-28,0.0032
2018-03-31,0.0009
2018-04-30,0.0022
2018-05-31,0.004
2018-06-30,0.0126
2018-07-31,0.0033
2018-08-31,-0.0009
2018-09-30,0.0048
2018-10-31,0.0045000000000000005
2018-11-30,-0.0021
2018-12-31,0.0015
2019-01-31,0.0032
2019-02-28,0.0043
2019-03-31,0.0075
2019-04-30,0.005699999999999999
2019-05-31,0.0013
2019-06-30,0.0001
2019-07-31,0.0019
2019-08-31,0.0011
2019-09-30,-0.0004
2019-10-31,0.001
2019-11-30,0.0051
2019-12-31,0.0115
2020-01-31,0.0021
2020-02-29,0.0025
2020-03-31,0.0007000000000000001
2020-04-30,-0.0031
2020-05-31,-0.0038
2020-06-30,0.0026
2020-07-31,0.0036
2020-08-31,0.0024
2020-09-30,0.0064
2020-10-31,0.0086
2020-11-30,0.0089
2020-12-31,0.013500000000000002
2021-01-31,0.0025
2021-02-28,0.0086
2021-03-31,0.009300000000000001
2021-04-30,0.0031
2021-05-31,0.0083
2021-06-30,0.0053
2021-07-31,0.0096
2021-08-31,0.0087
2021-09-30,0.0116
2021-10-31,0.0125
2021-11-30,0.0095
2021-12-31,0.0073
2022-01-31,0.0054
2022-02-28,0.0101
2022-03-31,0.016200000000000003
2022-04-30,0.0106
2022-05-31,0.004699999999999999
2022-06-30,0.0067
2022-07-31,-0.0068000000000000005
2022-08-31,-0.0036
2022-09-30,-0.0029
2022-10-31,0.0059
2022-11-30,0.0040999999999999995
2022-12-31,0.0062
2023-01-31,0.0053
2023-02-28,0.0084
2023-03-31,0.0070999999999999995
2023-04-30,0.0070999999999999995
